Batch ID,Job Order Number,Printing Date/Time,Printer Operator ID,Ink Type,Paper Type,No. of Sheets Used,No. of Cards Printed,No. of Half Cards,No. of Quarter Cards,Accepted Cards,Rejected Cards,Color Matching Data,Quality Control Result (Printing),Printing QC - Alignment,Printing QC - Color Accuracy,Printing QC - Material Integrity,Lamination Date/Time,Lamination Operator ID,Chip Type,Embedding Errors,Chip Serial Numbers,Quality Control Result (Embedding),Embedding QC - Chip Functionality,Embedding QC - Alignment,Network Data,Encryption Key,Laser Engraving Serial,ICCID,Personalization Operator ID,Quality Control Result (Personalization),Personalization QC - Data Accuracy,Personalization QC - Laser Engraving,Audit Trail Logs,PO_number,Printing_Year,Printing_Month,Processing Time (Days),Quality Control Result (Printing)_Binary,Quality Control Result (Embedding)_Binary,Quality Control Result (Personalization)_Binary,Total QC Passes
Batch_01,JO_00001,2022-01-01 00:00:00,Operator_39,Metallic Ink,Composite Materials,39.0,780.0,234.0,546.0,512.0,268.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-10 12:29:00,Operator_99,Type1,4.0,Chip_945971,Pass,Pass,Pass,GSM,Key_6889,Serial_1013,ICCID_289882,Operator_130,Pass,Pass,Pass,Log_58731,PO-0021,2022,1,9,1.0,1,1.0,3.0
Batch_02,JO_00002,2022-01-01 11:41:00,Operator_29,Metallic Ink,PVC,35.0,945.0,422.0,547.0,262.0,657.625,Match_Poor,Fail,Fail,Pass,Fail,2022-01-05 01:40:00,Operator_54,Type1,4.0,Chip_681753,Pass,Pass,Pass,GPRS,Key_4411,Serial_6644,ICCID_917299,Operator_125,Pass,Pass,Pass,Log_70126,PO-0022,2022,1,3,0.0,1,1.0,2.0
Batch_03,JO_00003,2022-01-01 23:22:00,Operator_15,Offset Ink,PVC,35.0,700.0,176.0,524.0,513.0,187.0,Match_Poor,Pass,Pass,Pass,Pass,2022-01-10 18:56:00,Operator_72,Type2,0.0,Chip_752795,Pass,Pass,Pass,GSM,Key_1315,Serial_4967,ICCID_920322,Operator_112,Pass,Pass,Pass,Log_16878,PO-0023,2022,1,8,1.0,1,1.0,3.0
Batch_04,JO_00004,2022-01-02 11:03:00,Operator_43,UV Ink,PET,29.0,812.0,811.0,1.0,696.0,116.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-05 15:04:00,Operator_96,Type1,1.0,Chip_658946,Pass,Pass,Pass,UMTS,Key_5339,Serial_8700,ICCID_470109,Operator_103,Pass,Pass,Pass,Log_12927,PO-0024,2022,1,3,1.0,1,1.0,3.0
Batch_05,JO_00005,2022-01-02 22:45:00,Operator_8,Metallic Ink,PET,37.0,1406.0,642.0,764.0,910.0,496.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-05 00:16:00,Operator_58,Type2,2.0,Chip_831642,Pass,Pass,Pass,GSM,Key_5569,Serial_8102,ICCID_643166,Operator_117,Pass,Pass,Pass,Log_76534,PO-0025,2022,1,2,1.0,1,1.0,3.0
Batch_06,JO_00006,2022-01-03 10:26:00,Operator_21,Offset Ink,PET,29.0,812.0,307.0,547.0,653.0,159.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-08 00:12:00,Operator_97,Type3,3.0,Chip_452108,Pass,Pass,Pass,GPRS,Key_7323,Serial_8318,ICCID_726194,Operator_104,Pass,Pass,Pass,Log_76004,PO-0026,2022,1,4,1.0,1,1.0,3.0
Batch_07,JO_00007,2022-01-03 22:07:00,Operator_39,UV Ink,Composite Mtrl,20.0,580.0,527.0,53.0,573.0,7.0,Match_Good,Pass,Pass,Pass,Pass,2022-01-06 14:07:00,Operator_66,Type1,3.0,Chip_175661,Pass,Pass,Pass,UMTS,Key_3227,Serial_3239,ICCID_477733,Operator_106,Pass,Pass,Pass,Log_84136,PO-0027,2022,1,2,1.0,1,1.0,3.0
Batch_08,JO_00008,2022-01-04 09:48:00,Operator_19,Metallic Ink,PET,19.0,570.0,469.0,547.0,267.0,303.0,Match_Good,Pass,Pass,Pass,Pass,2022-01-09 07:07:00,Operator_83,Type3,3.0,Chip_956752,Pass,Pass,Pass,GPRS,Key_3922,Serial_4712,ICCID_485093,Operator_148,Pass,Pass,Pass,Log_62713,PO-0028,2022,1,4,1.0,1,1.0,3.0
Batch_09,JO_00009,2022-01-04 21:30:00,Operator_23,Metallic Ink,Composite Materials,32.0,640.0,495.0,145.0,388.0,252.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-07 11:33:00,Operator_83,Type3,2.0,Chip_474529,Pass,Pass,Pass,UMTS,Key_6437,Serial_9798,ICCID_633998,Operator_115,Pass,Pass,Pass,Log_28952,PO-0029,2022,1,2,1.0,1,1.0,3.0
Batch_10,JO_00010,2022-01-05 09:11:00,Operator_11,Offset Ink,Composite Materials,46.0,1410.0,772.0,547.0,964.0,657.625,Match_Poor,Fail,Fail,Fail,Pass,2022-01-07 12:49:00,Operator_60,Type1,3.0,Chip_280728,Pass,Pass,Pass,GSM,Key_1551,Serial_3418,ICCID_355421,Operator_132,Pass,Pass,Pass,Log_14500,PO-0030,2022,1,2,0.0,1,1.0,2.0
Batch_11,JO_00011,2022-01-05 20:52:00,Operator_11,UV Ink,Composite Materials,28.0,756.0,332.0,424.0,559.0,197.0,Match_Perfect,Pass,Pass,Pass,Pass,2022-01-14 01:07:00,Operator_52,Type2,2.0,Chip_668073,Pass,Pass,Pass,GPRS,Key_4697,Serial_3957,ICCID_103149,Operator_121,Pass,Pass,Pass,Log_17233,PO-0031,2022,1,8,1.0,1,1.0,3.0
Batch_12,JO_00012,2022-01-06 08:33:00,Operator_24,UV Ink,Composite Materials,27.0,1053.0,487.0,547.0,200.0,657.625,Match_Poor,Fail,Fail,Pass,Fail,2022-01-12 13:01:00,Operator_94,Type2,3.0,Chip_273914,Pass,Pass,Pass,GPRS,Key_5240,Serial_2851,ICCID_979629,Operator_102,Pass,Pass,Pass,Log_53283,PO-0032,2022,1,6,0.0,1,1.0,2.0
Batch_13,JO_00013,2022-01-06 20:15:00,Operator_36,Metallic Ink,PET,36.0,1116.0,627.0,547.0,1058.0,58.0,Match_Perfect,Pass,Fail,Pass,Pass,2022-01-09 00:21:00,Operator_54,Type1,3.0,Chip_328981,Pass,Pass,Pass,GPRS,Key_2686,Serial_1938,ICCID_396128,Operator_146,Pass,Pass,Pass,Log_65500,PO-0033,2022,1,2,1.0,1,1.0,3.0
Batch_14,JO_00014,2022-01-07 07:56:00,Operator_40,Metallic Ink,PVC,15.0,314.0,189.0,111.0,228.0,72.0,Match_Fair,Pass,Pass,Pass,Pass,2022-01-12 21:05:00,Operator_73,Type2,2.0,Chip_127118,Pass,Pass,Pass,UMTS,Key_7968,Serial_7148,ICCID_245845,Operator_148,Pass,Pass,Pass,Log_21853,PO-0034,2022,1,5,1.0,1,1.0,3.0
